"Day ","Items ","Note ","Amount "
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14497 ","-105444"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14497 ","-123053"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14497 ","-148109"
"90","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14505 ","-119520"
"90","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14505 ","-139440"
"90","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14505 ","-199200"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14511 ","-1596000"
"90","Wholesales (B2B)","Revenue - B2B SO ID: 13409","1692000"
"90","Wholesales (B2B)","Revenue - B2B SO ID: 14139","915220"
"90","Human Resource Expense","Counselled","-2000"
"90","Human Resource Expense","Counselled","-2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"90","Salary Expense","Cash Payment - Salary Expense","-39028"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","-15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","-15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","-15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","-15000"
"90","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","10864"
"90","Retail","Revenue - Retail Sales Los Angeles - Red Wine","11284"
"90","Retail","Revenue - Retail Sales Los Angeles - White Wine","11312"
"90","Retail","Revenue - Retail Sales New York - Sparkling Wine","15201"
"90","Retail","Revenue - Retail Sales New York - Red Wine","36510"
"90","Retail","Revenue - Retail Sales New York - White Wine","17685"
"90","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10287"
"90","Retail","Revenue - Retail Sales Detroit - Red Wine","16296"
"90","Retail","Revenue - Retail Sales Detroit - White Wine","10611"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4800"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","-1885"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"90","Rental Expense","Cash Payment - Rental - New York","-4020"
"90","Rental Expense","Cash Payment - Rental - Detroit","-1500"
"90","Rental Expense","Cash Payment - Rental - Miami","-1800"
"90","Rental Expense","Cash Payment - Rental - San Francisco","-3600"
