Day,Revenue,Expense,Overdraft,Cash on hand
0,0,0,0,3500000
1,0,-12600,0,3487400
2,0,-272140,0,3215260
3,0,-980140,0,2235120
4,286656,-3586167,1250000,185609
5,275491,-911681,937500,486919
6,281157,-2002950,1562500,327626
7,961924,-937722,0,351828
8,1215176,-1741169,312500,138335
9,1959608,-1826054,0,271889
10,2054392,-2495355,1093750,924676
11,1124261,-878293,0,1170644
12,3236507,-2605051,1250000,3052100
13,1181029,-2111564,0,2121565
14,4237846,-706583,0,5652828
15,2638063,-1673691,0,6617200
16,348441,-4554488,0,2411153
17,277394,-3846481,1250000,92066
18,2846287,-88837,0,2849516
19,1104464,-5081605,1250000,122375
20,456721,-1054620,937500,461976
21,4706817,-2507860,0,2660933
22,261404,-1864001,0,1058336
23,600369,-59644,0,1599061
24,3154033,-3106242,1250000,2896852
25,1928083,-3161641,0,1663294
26,1411455,-1053712,0,2021037
27,1270427,-68233,0,3223231
28,192548,-105680,0,3310099
29,3189374,-532518,0,5966955
30,988112,-486076,0,6468991
31,163828,-3175867,0,3456952
32,841185,-1139782,0,3158355
33,1061472,-866756,0,3353071
34,129747,-700884,0,2781934
35,127396,-1557475,0,1351855
36,2851244,-1825020,0,2378079
37,1833743,-2496031,0,1715791
38,1897519,-1419370,0,2193940
39,2561319,-1616832,0,3138427
40,1389479,-1076449,0,3451457
41,785930,-375418,0,3861969
42,530990,-1986498,0,2406461
43,276957,-772618,0,1910800
44,1100484,-127828,0,2883456
45,1171247,-1598884,0,2455819
46,647628,-142953,0,2960494
47,2913321,-104013,0,5769802
48,1877404,-91923,0,7555283
49,1234163,-1182007,0,7607439
50,588617,-321185,0,7874871
51,1630194,-1777873,0,7727192
52,100094,-542439,0,7284847
53,2480327,-250124,0,9515050
54,110405,-658612,0,8966843
55,1151840,-393692,0,9724991
56,1300532,-677868,0,10347655
57,371144,-292626,0,10426173
58,468747,-74784,0,10820136
59,772089,-452947,0,11139278
60,894077,-804934,0,11228421
61,815667,-911868,0,11132220
62,868547,-187083,0,11813684
63,861620,-240878,0,12434426
64,882388,-412951,0,12903863
65,887321,-142259,0,13648925
66,895557,-291850,0,14252632
67,498130,-1082055,0,13668707
68,1255879,-106573,0,14818013
69,608922,-2087108,0,13339827
70,1469999,-708650,0,14101176
71,805720,-796854,0,14110042
72,1400692,-1159046,0,14351688
73,1379619,-122068,0,15609239
74,1629073,-4039149,0,13199163
75,348634,-908199,0,12639598
76,2043449,-156129,0,14526918
77,294781,-413946,0,14407753
78,1639513,-2280245,0,13767021
79,978664,-396212,0,14349473
80,1429524,-286135,0,15492862
81,1308921,-935772,0,15866011
82,2520936,-683360,0,17703587
83,589880,-1797839,0,16495628
84,1914247,-868914,0,17540961
85,620002,-1201327,0,16959636
86,471827,-1989243,0,15442220
87,461237,-2972012,0,12931445
88,2718183,-487840,0,15161788
89,1973060,-182528,0,16952320
90,2747270,-2573019,0,17126571
