"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Salary Expense","Cash Payment - Salary Expense","39028"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"90","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1885"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"90","Rental Expense","Cash Payment - Rental - New York","4020"
"90","Rental Expense","Cash Payment - Rental - Detroit","1500"
"90","Rental Expense","Cash Payment - Rental - Miami","1800"
"90","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"89","Human Resource Expense","Counselled","2000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Salary Expense","Cash Payment - Salary Expense","38981"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"89","Shipping Expense","Cash Payment - Move Stock ID: 13503","59207"
"89","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"89","Rental Expense","Cash Payment - Rental - New York","4020"
"89","Rental Expense","Cash Payment - Rental - Detroit","1500"
"89","Rental Expense","Cash Payment - Rental - Miami","1800"
"89","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Salary Expense","Cash Payment - Salary Expense","38802"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"88","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","3220"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"88","Rental Expense","Cash Payment - Rental - New York","4020"
"88","Rental Expense","Cash Payment - Rental - Detroit","1500"
"88","Rental Expense","Cash Payment - Rental - Miami","1800"
"88","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Salary Expense","Cash Payment - Salary Expense","38690"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","5950"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"87","Rental Expense","Cash Payment - Rental - New York","4020"
"87","Rental Expense","Cash Payment - Rental - Detroit","1500"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","162"
"87","Rental Expense","Cash Payment - Rental - Miami","1800"
"87","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Salary Expense","Cash Payment - Salary Expense","39188"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 304","15000"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","1925"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"86","Rental Expense","Cash Payment - Rental - New York","4020"
"86","Rental Expense","Cash Payment - Rental - Detroit","1500"
"86","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","120"
"86","Rental Expense","Cash Payment - Rental - Miami","1800"
"86","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Salary Expense","Cash Payment - Salary Expense","39004"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 301","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 307","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 321","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 324","15000"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"85","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","693"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"85","Rental Expense","Cash Payment - Rental - New York","4020"
"85","Rental Expense","Cash Payment - Rental - Detroit","1500"
"85","Rental Expense","Cash Payment - Rental - Miami","1800"
"85","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"84","Human Resource Expense","Counselled","2000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"84","Salary Expense","Cash Payment - Salary Expense","38921"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 348","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 351","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 354","15000"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"84","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","693"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","4800"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"84","Rental Expense","Cash Payment - Rental - New York","4020"
"84","Rental Expense","Cash Payment - Rental - Detroit","1500"
"84","Rental Expense","Cash Payment - Rental - Miami","1800"
"84","Rental Expense","Cash Payment - Rental - San Francisco","3600"
"83","Human Resource Expense","Counselled","2000"
"83","Human Resource Expense","Counselled","2000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"83","Salary Expense","Cash Payment - Salary Expense","38921"
"83","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 9013","96000"
"83","Shipping Expense","Cash Payment - Move Stock ID: 12959","134274"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"83","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Washington, D.C.","2079"
