Day,Cash On Hand (Accumulated) (USD)
0,3500000
1,3487400
2,3215260
3,2235120
4,185609
5,486919
6,327626
7,351828
8,138335
9,271889
10,924676
11,1170644
12,3052100
13,2121565
14,5652828
15,6617200
16,2411153
17,92066
18,2849516
19,122375
20,461976
21,2660933
22,1058336
23,1599061
24,2896852
25,1663294
26,2021037
27,3223231
28,3310099
29,5966955
30,6468991
31,3456952
32,3158355
33,3353071
34,2781934
35,1351855
36,2378079
37,1715791
38,2193940
39,3138427
40,3451457
41,3861969
42,2406461
43,1910800
44,2883456
45,2455819
46,2960494
47,5769802
48,7555283
49,7607439
50,7874871
51,7727192
52,7284847
53,9515050
54,8966843
55,9724991
56,10347655
57,10426173
58,10820136
59,11139278
60,11228421
61,11132220
62,11813684
63,12434426
64,12903863
65,13648925
66,14252632
67,13668707
68,14818013
69,13339827
70,14101176
71,14110042
72,14351688
73,15609239
74,13199163
75,12639598
76,14526918
77,14407753
78,13767021
79,14349473
80,15492862
81,15866011
82,17703587
83,16495628
84,17540961
85,16959636
86,15442220
87,12931445
88,15161788
89,16952320
90,17126571
