Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,284740,-284740
3,0,0,314880,-314880
4,286656,116932,350047,-233115
5,562147,239638,381728,-142090
6,843304,363841,417978,-54137
7,1805228,598724,455200,143524
8,3020404,763687,487369,276318
9,4980012,1068025,518023,550002
10,7034404,1877808,558495,1319313
11,8158665,2430767,593452,1837315
12,11395172,3795453,624625,3170828
13,12576201,4545369,657333,3888036
14,16814047,5882521,688406,5194115
15,19452110,6490228,733413,5756815
16,19800551,6737106,936315,5800791
17,20077945,6858218,990980,5867238
18,22924232,7390695,1094817,6295878
19,24028696,7633156,1279890,6353266
20,24485417,7790653,1434270,6356383
21,29192234,8706975,1558230,7148745
22,29453638,8819637,1631191,7188446
23,30054007,9188538,1720835,7467703
24,33208040,9978217,1805177,8173040
25,35136123,10424874,1937858,8487016
26,36547578,10899178,2033670,8865508
27,37818005,11300054,2131903,9168151
28,38010553,11405386,2267583,9137803
29,41199927,12429594,2396781,10032813
30,42188039,12673118,2548951,10124167
31,42351867,12729247,2746678,9982569
32,43193052,12726530,2861780,9864750
33,44254524,13103320,2974661,10128659
34,44384271,13107128,3135345,9971783
35,44511667,13046247,3326830,9719417
36,47362911,14071717,3510562,10561155
37,49196654,15009635,3625673,11383962
38,51094173,15606944,3753795,11853149
39,53655492,16658272,3917787,12740485
40,55044971,17056302,4111318,12944984
41,55830901,17291049,4264700,13026349
42,56361891,17730617,4380372,13350245
43,56638848,17917822,4495750,13422072
44,57739332,18330220,4668578,13661642
45,58910579,18656304,4858062,13798242
46,59558207,18822072,5046015,13776057
47,62471528,19586500,5195028,14391472
48,64348932,20089966,5331951,14758015
49,65583095,20325334,5521706,14803628
50,66171712,20671506,5887891,14783615
51,67801906,20934849,6058238,14876611
52,67902000,20708672,6190211,14518461
53,70382327,21991391,6329335,15662056
54,70492732,22010868,6545981,15464887
55,71644572,22622753,6755173,15867580
56,72945104,23325049,6893491,16431558
57,73316248,23504146,7013317,16490829
58,73784995,23745844,7133101,16612743
59,74557084,24063421,7303726,16759695
60,75451161,24441576,7498796,16942780
61,76266828,24773438,7747292,17026146
62,77135375,25132911,7868919,17263992
63,77996995,25601482,8011589,17589893
64,78879383,25986688,8225428,17761260
65,79766704,26401143,8412687,17988456
66,80662261,26707922,8563813,18144109
67,81160391,26948165,8688292,18259873
68,82416270,27665013,8839865,18825148
69,83025192,27922464,9012089,18910375
70,84495191,28435845,9208957,19226888
71,85300911,28776103,9484231,19291872
72,86701603,29604632,9605904,19998728
73,88081222,30089122,9772972,20316150
74,89710295,30386144,9940251,20445893
75,90058929,30719762,10125558,20594204
76,92102378,30754792,10311687,20443105
77,92397159,31077745,10508633,20569112
78,94036672,31614282,10617694,20996588
79,95015336,32064813,10756226,21308587
80,96444860,32630675,11057361,21573314
81,97753781,33245801,11167173,22078628
82,100274717,34372936,11335613,23037323
83,100864597,34544181,11663227,22880954
84,102778844,35203270,11802181,23401089
85,103398846,35356657,11958218,23398439
86,103870673,35315931,12066791,23249140
87,104331910,35043853,12163933,22879920
88,107050093,35052963,12285295,22767668
89,109023153,35448588,12482823,22965765
90,111770423,35633651,12640076,22993575
