[HIGHEST OVERHEAD] Salary Expense: 22.15%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD272140
[CASH DEFICIT] DAY: 3, AMOUNT: USD980140
[CASH DEFICIT] DAY: 4, AMOUNT: USD2049511
[CASH DEFICIT] DAY: 6, AMOUNT: USD159293
[CASH DEFICIT] DAY: 8, AMOUNT: USD213493
[CASH DEFICIT] DAY: 13, AMOUNT: USD930535
[CASH DEFICIT] DAY: 16, AMOUNT: USD4206047
[CASH DEFICIT] DAY: 17, AMOUNT: USD2319087
[CASH DEFICIT] DAY: 19, AMOUNT: USD2727141
[CASH DEFICIT] DAY: 22, AMOUNT: USD1602597
[CASH DEFICIT] DAY: 25, AMOUNT: USD1233558
[CASH DEFICIT] DAY: 31, AMOUNT: USD3012039
[CASH DEFICIT] DAY: 32, AMOUNT: USD298597
[CASH DEFICIT] DAY: 34, AMOUNT: USD571137
[CASH DEFICIT] DAY: 35, AMOUNT: USD1430079
[CASH DEFICIT] DAY: 37, AMOUNT: USD662288
[CASH DEFICIT] DAY: 42, AMOUNT: USD1455508
[CASH DEFICIT] DAY: 43, AMOUNT: USD495661
[CASH DEFICIT] DAY: 45, AMOUNT: USD427637
[CASH DEFICIT] DAY: 51, AMOUNT: USD147679
[CASH DEFICIT] DAY: 52, AMOUNT: USD442345
[CASH DEFICIT] DAY: 54, AMOUNT: USD548207
[CASH DEFICIT] DAY: 61, AMOUNT: USD96201
[CASH DEFICIT] DAY: 67, AMOUNT: USD583925
[CASH DEFICIT] DAY: 69, AMOUNT: USD1478186
[CASH DEFICIT] DAY: 74, AMOUNT: USD2410076
[CASH DEFICIT] DAY: 75, AMOUNT: USD559565
[CASH DEFICIT] DAY: 77, AMOUNT: USD119165
[CASH DEFICIT] DAY: 78, AMOUNT: USD640732
[CASH DEFICIT] DAY: 83, AMOUNT: USD1207959
[CASH DEFICIT] DAY: 85, AMOUNT: USD581325
[CASH DEFICIT] DAY: 86, AMOUNT: USD1517416
[CASH DEFICIT] DAY: 87, AMOUNT: USD2510775
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600.0
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD272140.0
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD30140.0
[PROFIT DEFICIT] DAY: 28, AMOUNT: USD30348.0
[PROFIT DEFICIT] DAY: 31, AMOUNT: USD141598.0
[PROFIT DEFICIT] DAY: 32, AMOUNT: USD117819.0
[PROFIT DEFICIT] DAY: 34, AMOUNT: USD156876.0
[PROFIT DEFICIT] DAY: 35, AMOUNT: USD252366.0
[PROFIT DEFICIT] DAY: 46, AMOUNT: USD22185.0
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD20013.0
[PROFIT DEFICIT] DAY: 52, AMOUNT: USD358150.0
[PROFIT DEFICIT] DAY: 54, AMOUNT: USD197169.0
[PROFIT DEFICIT] DAY: 76, AMOUNT: USD151099.0
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD156369.0
[PROFIT DEFICIT] DAY: 85, AMOUNT: USD2650.0
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD149299.0
[PROFIT DEFICIT] DAY: 87, AMOUNT: USD369220.0
[PROFIT DEFICIT] DAY: 88, AMOUNT: USD112252.0
